SalesOrderID,MinQuantity,MaxQuantity
43659,1,6
43660,1,1
43661,1,5
43662,1,6
43663,1,1
43664,1,4
43665,1,6
43666,1,2
43667,1,3
43668,1,7
43669,1,1
43670,1,2
43671,1,2
43672,1,6
43673,1,4
43674,3,3
43675,1,5
43676,1,4
43677,1,5
43678,1,4
43679,1,2
43680,1,4
43681,1,6
43682,1,2
43683,1,6
43684,1,2
43685,1,3
43686,1,3
43687,1,2
43688,1,3
43689,1,9
43690,1,2
43691,1,1
43692,1,10
43693,1,6
43694,1,5
43695,1,6
43696,1,1
43697,1,1
43698,1,1
43699,1,1
43700,1,1
43701,1,1
43702,1,1
43703,1,1
43704,1,1
43705,1,1
43706,1,1
43707,1,1
43708,1,1
43709,1,1
43710,1,1
43711,1,1
43712,1,1
43713,1,1
43714,1,1
43715,1,1
43716,1,1
43717,1,1
43718,1,1
43719,1,1
43720,1,1
43721,1,1
43722,1,1
43723,1,1
43724,1,1
43725,1,1
43726,1,1
43727,1,1
43728,1,1
43729,1,1
43730,1,1
43731,1,1
43732,1,1
43733,1,1
43734,1,1
43735,1,1
43736,1,1
43737,1,1
43738,1,1
43739,1,1
43740,1,1
43741,1,1
43742,1,1
43743,1,1
43744,1,1
43745,1,1
43746,1,1
43747,1,1
43748,1,1
43749,1,1
43750,1,1
43751,1,1
43752,1,1
43753,1,1
43754,1,1
43755,1,1
43756,1,1
43757,1,1
43758,1,1
43759,1,1
43760,1,1
43761,1,1
43762,1,1
43763,1,1
43764,1,1
43765,1,1
43766,1,1
43767,1,1
43768,1,1
43769,1,1
43770,1,1
43771,1,1
43772,1,1
43773,1,1
43774,1,1
43775,1,1
43776,1,1
43777,1,1
43778,1,1
43779,1,1
43780,1,1
43781,1,1
43782,1,1
43783,1,1
43784,1,1
43785,1,1
43786,1,1
43787,1,1
43788,1,1
43789,1,1
43790,1,1
43791,1,1
43792,1,1
43793,1,1
43794,1,1
43795,1,1
43796,1,1
43797,1,1
43798,1,1
43799,1,1
43800,1,1
43801,1,1
43802,1,1
43803,1,1
43804,1,1
43805,1,1
43806,1,1
43807,1,1
43808,1,1
43809,1,1
43810,1,1
43811,1,1
43812,1,1
43813,1,1
43814,1,1
43815,1,1
43816,1,1
43817,1,1
43818,1,1
43819,1,1
43820,1,1
43821,1,1
43822,1,1
43823,1,1
43824,1,1
43825,1,1
43826,1,1
43827,1,1
43828,1,1
43829,1,1
43830,1,1
43831,1,1
43832,1,1
43833,1,1
43834,1,1
43835,1,1
43836,1,1
43837,1,1
43838,1,1
43839,1,1
43840,1,1
43841,1,1
43842,1,1
43843,1,5
43844,1,4
43845,1,4
43846,1,3
43847,1,1
43848,1,4
43849,1,4
43850,1,3
43851,1,3
43852,1,1
43853,1,4
43854,2,2
43855,1,4
43856,1,2
43857,1,3
43858,1,5
43859,1,3
43860,1,2
43861,1,9
43862,1,4
43863,1,1
43864,1,5
43865,1,5
43866,1,2
43867,1,4
43868,1,1
43869,1,5
43870,1,3
43871,1,4
43872,1,4
43873,1,6
43874,1,1
43875,1,13
43876,1,3
43877,1,5
43878,1,1
43879,1,13
43880,1,3
43881,2,21
43882,1,1
43883,1,3
43884,1,14
43885,4,8
43886,1,6
43887,1,1
43888,1,5
43889,1,2
43890,1,8
43891,1,4
43892,1,5
43893,1,1
43894,2,8
43895,1,6
43896,1,4
43897,1,10
43898,1,13
43899,1,2
43900,1,8
43901,1,6
43902,1,6
43903,1,1
43904,1,4
43905,1,5
43906,1,26
43907,1,5
43908,1,2
43909,1,3
43910,1,5
43911,1,7
43912,1,5
43913,1,5
43914,1,4
43915,2,2
43916,1,6
43917,1,7
43918,1,1
43919,1,1
43920,1,1
43921,1,1
43922,1,1
43923,1,1
43924,1,1
43925,1,1
43926,1,1
43927,1,1
43928,1,1
43929,1,1
43930,1,1
43931,1,1
43932,1,1
43933,1,1
43934,1,1
43935,1,1
43936,1,1
43937,1,1
43938,1,1
43939,1,1
43940,1,1
43941,1,1
43942,1,1
43943,1,1
43944,1,1
43945,1,1
43946,1,1
43947,1,1
43948,1,1
43949,1,1
43950,1,1
43951,1,1
