SalesOrderID,RevisionNumber,OrderDate,DueDate,ShipDate,Status,OnlineOrderFlag,SalesOrderNumber,PurchaseOrderNumber,AccountNumber,CustomerID,SalesPersonID,TerritoryID,BillToAddressID,ShipToAddressID,ShipMethodID,CreditCardID,CreditCardApprovalCode,CurrencyRateID,SubTotal,TaxAmt,Freight,TotalDue,Comment,rowguid,ModifiedDate
51925,8,2013-07-01 00:00:00.000,2013-07-13 00:00:00.000,2013-07-08 00:00:00.000,5,1,SO51925,NULL,10-4030-011091,11091,NULL,6,13550,13550,1,11334,916743Vi58449,8754,13.98,1.1184,0.3495,15.4479,NULL,74043b7d-345b-454d-abc9-d16fc9f5f79a,2013-07-08 00:00:00.000
52420,8,2013-07-11 00:00:00.000,2013-07-23 00:00:00.000,2013-07-18 00:00:00.000,5,1,SO52420,NULL,10-4030-011091,11091,NULL,6,13550,13550,1,11334,920555Vi58449,8864,53.99,4.3192,1.3498,59.659,NULL,d54dfedc-724c-46e5-aade-704c98f7c1da,2013-07-18 00:00:00.000
54113,8,2013-08-09 00:00:00.000,2013-08-21 00:00:00.000,2013-08-16 00:00:00.000,5,1,SO54113,NULL,10-4030-011091,11091,NULL,6,13550,13550,1,11334,921805Vi58449,9183,58.47,4.6776,1.4618,64.6094,NULL,8b882c1c-1706-41c8-a81d-39e4f2c4c36a,2013-08-16 00:00:00.000
54391,8,2013-08-14 00:00:00.000,2013-08-26 00:00:00.000,2013-08-21 00:00:00.000,5,1,SO54391,NULL,10-4030-011091,11091,NULL,6,13550,13550,1,11334,921724Vi58449,9238,12.94,1.0352,0.3235,14.2987,NULL,7f622642-966d-4e28-892c-f37e4ab8c80a,2013-08-21 00:00:00.000
54831,8,2013-08-22 00:00:00.000,2013-09-03 00:00:00.000,2013-08-29 00:00:00.000,5,1,SO54831,NULL,10-4030-011091,11091,NULL,6,13550,13550,1,11334,920957Vi58449,9326,74.48,5.9584,1.862,82.3004,NULL,f5bb68f6-b95c-492a-8810-fee3a234c50c,2013-08-29 00:00:00.000
55572,8,2013-09-03 00:00:00.000,2013-09-15 00:00:00.000,2013-09-10 00:00:00.000,5,1,SO55572,NULL,10-4030-011091,11091,NULL,6,13550,13550,1,11334,922577Vi58449,9458,38.88,3.1104,0.972,42.9624,NULL,6d4a442b-d43b-49ce-8bc9-4a5928ba79c7,2013-09-10 00:00:00.000
55626,8,2013-09-04 00:00:00.000,2013-09-16 00:00:00.000,2013-09-11 00:00:00.000,5,1,SO55626,NULL,10-4030-011091,11091,NULL,6,13550,13550,1,11334,921611Vi58449,9469,27.77,2.2216,0.6943,30.6859,NULL,0c473c01-aa60-4e2a-8c18-ec768dfe02a8,2013-09-11 00:00:00.000
56448,8,2013-09-19 00:00:00.000,2013-10-01 00:00:00.000,2013-09-26 00:00:00.000,5,1,SO56448,NULL,10-4030-011091,11091,NULL,6,13550,13550,1,11334,921171Vi58449,9634,39.98,3.1984,0.9995,44.1779,NULL,660c4fc5-d8a7-4021-92ec-4cc8f9d88b15,2013-09-26 00:00:00.000
56816,8,2013-09-26 00:00:00.000,2013-10-08 00:00:00.000,2013-10-03 00:00:00.000,5,1,SO56816,NULL,10-4030-011091,11091,NULL,6,13550,13550,1,11334,925139Vi58449,9711,4.99,0.3992,0.1248,5.514,NULL,59e796dc-7e10-4217-aaab-5730d85446ad,2013-10-03 00:00:00.000
57494,8,2013-10-05 00:00:00.000,2013-10-17 00:00:00.000,2013-10-12 00:00:00.000,5,1,SO57494,NULL,10-4030-011091,11091,NULL,6,13550,13550,1,11334,921224Vi58449,9810,6.28,0.5024,0.157,6.9394,NULL,1150062b-10be-41b8-90cf-968fb6f37b6b,2013-10-12 00:00:00.000
59427,8,2013-11-04 00:00:00.000,2013-11-16 00:00:00.000,2013-11-11 00:00:00.000,5,1,SO59427,NULL,10-4030-011091,11091,NULL,6,13550,13550,1,11334,922689Vi58449,10140,32.27,2.5816,0.8068,35.6584,NULL,c1cf89a1-eb66-4ecb-a4c3-7a17e11c724f,2013-11-11 00:00:00.000
59522,8,2013-11-05 00:00:00.000,2013-11-17 00:00:00.000,2013-11-12 00:00:00.000,5,1,SO59522,NULL,10-4030-011091,11091,NULL,6,13550,13550,1,11334,923829Vi58449,10151,69.99,5.5992,1.7498,77.339,NULL,fbca7e3b-7631-44a9-8348-5972139538bc,2013-11-12 00:00:00.000
60531,8,2013-11-20 00:00:00.000,2013-12-02 00:00:00.000,2013-11-27 00:00:00.000,5,1,SO60531,NULL,10-4030-011091,11091,NULL,6,13550,13550,1,11334,921133Vi58449,10316,2.29,0.1832,0.0573,2.5305,NULL,87b80118-df83-4151-a44a-09bb8e9c881b,2013-11-27 00:00:00.000
61333,8,2013-12-01 00:00:00.000,2013-12-13 00:00:00.000,2013-12-08 00:00:00.000,5,1,SO61333,NULL,10-4030-011091,11091,NULL,6,13550,13550,1,11334,923386Vi58449,10437,34.98,2.7984,0.8745,38.6529,NULL,5975f59f-51fe-4d8a-ab12-a1ef1bbb3e2c,2013-12-08 00:00:00.000
62597,8,2013-12-22 00:00:00.000,2014-01-03 00:00:00.000,2013-12-29 00:00:00.000,5,1,SO62597,NULL,10-4030-011091,11091,NULL,6,13550,13550,1,11334,923016Vi58449,10668,99.57,7.9656,2.4893,110.0249,NULL,0a7da406-d37b-4889-a349-c4fe8dfa2e1d,2013-12-29 00:00:00.000
