SupplierID,NumberOfProductsOffered
1492,16
1494,1
1496,16
1498,2
1500,1
1504,1
1506,2
1508,3
1510,1
1514,3
1516,2
1518,7
1520,3
1522,1
1526,2
1530,2
1534,16
1536,23
1538,2
1540,24
1542,2
1544,3
1546,9
1548,1
1554,16
1556,1
1560,2
1562,23
1566,1
1568,14
1570,3
1572,2
1574,4
1576,2
1578,3
1580,1
1582,13
1584,5
1586,2
1588,2
1590,2
1592,2
1594,9
1598,9
1600,1
1602,3
1604,3
1608,1
1610,1
1612,1
1614,9
1616,19
1618,1
1620,1
1622,9
1624,2
1626,1
1628,1
1632,3
1636,10
1638,1
1644,1
1646,3
1648,1
1650,1
1652,4
1654,1
1656,30
1658,2
1662,1
1664,1
1666,16
1672,10
1674,1
1676,12
1678,3
1680,3
1682,1
1684,4
1686,19
1688,1
1690,1
1692,5
1694,3
1696,9
1698,1
